"Article","Amount"
"Депозит","4000000"
"материалы для производства","969078,16"
"перевод со счета на счет","615013,62"
"НДС","442938"
"Перечисление дивидендов","400000"
"Товар","227024,2"
"Налоги на персонал","149194"
"упаковка","123002"
"Возврат кредита банку","117530,76"
"Товар, материал медаль шоколадная","98000"
"Выплата зарплаты","90046"
"УСН","77107"
"транспортно-экспедиционные услуги","66010,82"
"Консультационные услуги","61697"
"Прочее списание","61320,19"
"Подотчет","40352,65"
"Программное обеспечение, Каталоги, Лицензии","32630"
"Курьерская доставка","32379,38"
"Аренда складских помещений","30300"
"Коммунальные услуги","26237,95"
"услуги печати","24500"
"оборудование для печати и расходники","16191"
"Услуги связи","10611,85"
"Хозрасходы, офисные расходы, мебель","6980"
"Комиссия банка","3690"
"Без статьи","1999,98"
"Госпошлины, штрафы","1125"
